Iteration,Objective,Score,MinOut,MaxOut,stdDevMinOutPos,stdDevMinOutNeg,StdDevMaxOutPos,StdDevMaxOutNeg,HyperplanePercentage
218,1.20016e+06,0,-0.745896,-nan,0.000210486,0.000174572,-nan,-nan,3.29803e-15
219,1.19848e+06,0,-0.746593,-nan,0.000208276,0.000172071,-nan,-nan,3.3025e-15
220,1.19682e+06,0,-0.747282,-nan,0.000205944,0.000169709,-nan,-nan,3.30693e-15
221,1.19518e+06,0,-0.747962,-nan,0.000203787,0.000167272,-nan,-nan,3.31131e-15
222,1.19355e+06,0,-0.748635,-nan,0.000201619,0.000164893,-nan,-nan,3.31565e-15
223,1.19195e+06,0,-0.749299,-nan,0.000199441,0.00016257,-nan,-nan,3.31995e-15
224,1.19037e+06,0,-0.749956,-nan,0.00019743,0.000160177,-nan,-nan,3.32421e-15
225,1.1888e+06,0,-0.750604,-nan,0.000195338,0.00015789,-nan,-nan,3.32843e-15
226,1.18725e+06,0,-0.751245,-nan,0.000193305,0.000155608,-nan,-nan,3.33261e-15
227,1.18573e+06,0,-0.751878,-nan,0.000191365,0.000153309,-nan,-nan,3.33674e-15
228,1.18422e+06,0,-0.752504,-nan,0.000189414,0.000151064,-nan,-nan,3.34084e-15
229,1.18272e+06,0,-0.753122,-nan,0.000187486,0.000148849,-nan,-nan,3.34489e-15
230,1.18125e+06,0,-0.753733,-nan,0.000185547,0.000146687,-nan,-nan,3.3489e-15
231,1.17979e+06,0,-0.754337,-nan,0.000183598,0.000144576,-nan,-nan,3.35288e-15
232,1.17835e+06,0,-0.754933,-nan,0.000181706,0.000142469,-nan,-nan,3.35681e-15
233,1.17693e+06,0,-0.755522,-nan,0.000179803,0.000140413,-nan,-nan,3.3607e-15
234,1.17553e+06,0,-0.756105,-nan,0.000177956,0.000138361,-nan,-nan,3.36456e-15
235,1.17414e+06,0,-0.75668,-nan,0.000176228,0.000136275,-nan,-nan,3.36838e-15
236,1.17277e+06,0,-0.757248,-nan,0.000174424,0.000134278,-nan,-nan,3.37215e-15
237,1.17141e+06,0,-0.75781,-nan,0.000172706,0.000132268,-nan,-nan,3.37589e-15
238,1.17007e+06,0,-0.758365,-nan,0.000171103,0.000130226,-nan,-nan,3.37959e-15
239,1.16875e+06,0,-0.758913,-nan,0.000169551,0.000128194,-nan,-nan,3.38326e-15
240,1.16744e+06,0,-0.759455,-nan,0.000168111,0.000126134,-nan,-nan,3.38688e-15
241,1.16615e+06,0,-0.75999,-nan,0.00016669,0.000124106,-nan,-nan,3.39047e-15
242,1.16487e+06,0,-0.760519,-nan,0.000165286,0.000122109,-nan,-nan,3.39403e-15
243,1.16361e+06,0,-0.761042,-nan,0.000163837,0.000120177,-nan,-nan,3.39754e-15
244,1.16237e+06,0,-0.761558,-nan,0.000162406,0.000118275,-nan,-nan,3.40102e-15
245,1.16114e+06,0,-0.762069,-nan,0.0001609,0.000116452,-nan,-nan,3.40446e-15
246,1.15992e+06,0,-0.762573,-nan,0.00015938,0.000114672,-nan,-nan,3.40787e-15
247,1.15872e+06,0,-0.763071,-nan,0.000157849,0.000112933,-nan,-nan,3.41124e-15
248,1.15753e+06,0,-0.763563,-nan,0.000156306,0.000111235,-nan,-nan,3.41458e-15
249,1.15636e+06,0,-0.764049,-nan,0.000154691,0.000109607,-nan,-nan,3.41788e-15
250,1.1552e+06,0,-0.76453,-nan,0.000153156,0.00010797,-nan,-nan,3.42115e-15
251,1.15405e+06,0,-0.765005,-nan,0.000151609,0.00010637,-nan,-nan,3.42438e-15
252,1.15292e+06,0,-0.765474,-nan,0.000150111,0.000104776,-nan,-nan,3.42758e-15
253,1.1518e+06,0,-0.765937,-nan,0.000148603,0.000103219,-nan,-nan,3.43074e-15
254,1.1507e+06,0,-0.766395,-nan,0.000147141,0.000101668,-nan,-nan,3.43387e-15
255,1.1496e+06,0,-0.766848,-nan,0.000145698,0.000100138,-nan,-nan,3.43697e-15
256,1.14852e+06,0,-0.767295,-nan,0.000144301,9.86141e-05,-nan,-nan,3.44003e-15
257,1.14746e+06,0,-0.767737,-nan,0.000142949,9.70976e-05,-nan,-nan,3.44306e-15
258,1.1464e+06,0,-0.768173,-nan,0.000141529,9.56437e-05,-nan,-nan,3.44606e-15
259,1.14536e+06,0,-0.768605,-nan,0.000140183,9.41824e-05,-nan,-nan,3.44903e-15
260,1.14434e+06,0,-0.769031,-nan,0.000138881,9.27281e-05,-nan,-nan,3.45196e-15
261,1.14332e+06,0,-0.769452,-nan,0.000137622,9.12813e-05,-nan,-nan,3.45486e-15
262,1.14231e+06,0,-0.769868,-nan,0.000136379,8.98553e-05,-nan,-nan,3.45773e-15
263,1.14132e+06,0,-0.770279,-nan,0.000135288,8.83871e-05,-nan,-nan,3.46057e-15
264,1.14034e+06,0,-0.770685,-nan,0.000134102,8.69908e-05,-nan,-nan,3.46338e-15
265,1.13937e+06,0,-0.771087,-nan,0.000132985,8.55909e-05,-nan,-nan,3.46616e-15
266,1.13842e+06,0,-0.771483,-nan,0.000131936,8.41884e-05,-nan,-nan,3.46891e-15
267,1.13747e+06,0,-0.771875,-nan,0.000130955,8.27847e-05,-nan,-nan,3.47162e-15
268,1.13654e+06,0,-0.772262,-nan,0.000129933,8.14262e-05,-nan,-nan,3.47431e-15
269,1.13561e+06,0,-0.772645,-nan,0.000128925,8.00889e-05,-nan,-nan,3.47697e-15
270,1.1347e+06,0,-0.773023,-nan,0.00012793,7.87726e-05,-nan,-nan,3.4796e-15
271,1.1338e+06,0,-0.773396,-nan,0.000126895,7.74984e-05,-nan,-nan,3.4822e-15
